Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
0;51;4887.574074074074;-3038.8039215686276;5834.117647058823;3027.427779074205
1;29;2925.0344827586205;-866.0344827586207;3901.8275862068967;1659.999999999475
2;43;4101.318181818182;-2227.4186046511627;5374.0;2953.7555575926467
3;53;3948.8214285714284;-1860.622641509434;4919.924528301887;3228.8000020373747
4;49;4137.274509803921;-2610.061224489796;5381.326530612245;3126.055557407639
5;41;4856.232558139535;-3086.4146341463415;6185.0;2980.2166692593396
6;45;4915.595744680851;-3134.2444444444445;5969.022222222222;2976.1555568519284
7;32;3461.5625;-1557.6875;4513.0;1973.3333333325709
8;51;4441.038461538462;-2792.372549019608;5624.9607843137255;3316.7388890745005
9;51;3924.777777777778;-2090.8823529411766;5064.235294117647;3187.58333592622
Total Average;44.5;4159.922971916285;-2326.4542355529215;5276.741459283345;2843.0066680555906
