
Gradient Field
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;46;3727.25;-1898.5217391304348;4873.282608695652;3355.538891667137
2;45;3577.1041666666665;-1931.3111111111111;4828.977777777778;3355.54444629677
3;50;3096.6603773584907;-1592.26;4475.92;3356.083334815286
4;49;3457.725490196078;-1952.1836734693877;4715.34693877551;3355.433335556026
5;49;3421.4423076923076;-1551.2244897959183;4565.244897959184;3355.0222229634346
6;53;3274.875;-1464.5471698113208;4349.811320754717;3355.455557963436
7;56;3006.59649122807;-995.0714285714286;3914.5;3355.211111481953
8;56;2987.0862068965516;-1263.6785714285713;4070.7678571428573;3355.3000011115823
9;48;3823.6530612244896;-2351.6875;4928.5;3354.9166668523253
10;50;3200.25;-1118.12;4134.0;3354.894445741214
Total Average;50.2;3357.2643101262656;-1611.8605683318176;4485.635140110569;3355.3400014449167

Delegate MAS
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;32;2924.878787878788;-1133.4375;4115.84375;3354.2111122226866
2;39;3489.560975609756;-1487.1025641025642;4275.589743589743;3353.850001667131
3;36;4483.894736842105;-2451.9444444444443;5152.5;3353.8888905560198
4;39;3233.475;-1672.6410256410256;4438.641025641025;3354.116666667131
5;29;4676.6;-3196.3793103448274;5956.448275862069;3354.827782407872
6;32;3679.121212121212;-1917.28125;4878.15625;3354.23889055602
7;36;4679.054054054054;-3063.3333333333335;5895.944444444444;3354.1500022226865
8;38;3764.9473684210525;-1727.2631578947369;4813.026315789473;3353.6833342597242
9;36;3240.25;-1278.6666666666667;4232.194444444444;3353.5888925930562
10;35;2748.3513513513512;-616.9714285714285;3925.4;3353.9888907412046
Total Average;35.2;3692.013348627832;-1854.502068099903;4768.37442497712;3354.054446389353

Contract Net
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;49;2462.204081632653;-742.795918367347;3625.122448979592;3176.511111666949
2;51;2607.8846153846152;-1117.0;3749.5686274509803;3156.455556111374
3;44;3125.688888888889;-1357.0227272727273;4129.068181818182;2900.7555564814797
4;43;3195.8863636363635;-1314.3255813953488;4228.046511627907;2841.0944459258644
5;46;3290.404255319149;-1647.5869565217392;4428.913043478261;3199.9388898151215
6;47;3705.7551020408164;-1909.0212765957447;4823.127659574468;3204.133335185496
7;50;3608.576923076923;-1617.54;4734.56;3150.161111852108
8;48;3437.274509803922;-1978.6458333333333;4720.958333333333;3236.8000001855303
9;43;3643.2444444444445;-1889.0;4719.093023255814;2816.033334259171
10;20;1930.1;138.9;2891.6;1033.3333333333699
Total Average;44.1;3100.7019184227775;-1343.4038293486242;4205.005782951854;2871.5216674816456
