Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
0;46;5181.2040816326535;2658.021739130435;5992.782608695652;3353.7944475930567
1;48;3968.918367346939;2851.9166666666665;5006.75;3353.1666668523158
2;43;4350.021739130435;2755.2558139534885;5296.186046511628;3353.9777801856503
3;45;5433.851063829788;3018.9555555555557;6091.2;3354.13333444491
4;48;4459.040816326531;2823.8333333333335;5388.375;3353.7055579634275
5;49;4337.0;2991.4897959183672;5440.469387755102;3353.411112037502
6;45;4556.63829787234;2804.133333333333;5781.355555555556;3354.2055575930576
7;44;5097.297872340426;2822.909090909091;6283.181818181818;3354.094445556022
8;45;4813.270833333333;3303.1111111111113;5969.444444444444;3353.8666681486125
9;47;4456.44;2863.7872340425533;5401.893617021276;3353.1444457412053
Total Average;46.0;4665.368307181246;2889.3413673953937;5665.163847816548;3353.7500016115764
