
20.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;33;4719.911764705882;-3120.4242424242425;6049.181818181818;3353.844447037501
2;36;4046.6111111111113;-2325.0;5110.027777777777;3353.338890185649
3;33;4785.138888888889;-3064.6363636363635;5932.181818181818;3353.7944450004647
4;35;4720.222222222223;-2626.5142857142855;5752.628571428571;3352.983334259725
5;32;4359.0625;-2614.71875;5480.28125;3353.5333333337967
6;30;6036.848484848485;-3965.233333333333;7097.566666666667;3354.200002963429
7;34;3903.6388888888887;-1076.7058823529412;4097.529411764706;3353.283336111576
8;34;4614.057142857143;-2771.5588235294117;5754.382352941177;3353.361111296761
9;32;5178.8125;-3464.34375;6342.6875;3354.533335185651
10;28;5217.862068965517;-3566.6428571428573;6605.5;3354.077779074539
Total Average;32.7;4758.216557248814;-2859.5778288133433;5822.196716694253;3353.6950014449094

40.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;36;4953.5526315789475;-2838.6388888888887;5963.083333333333;3354.0611125930586
2;42;4162.227272727273;-2164.6428571428573;5140.952380952381;3353.2611124078726
3;34;4961.583333333333;-3512.235294117647;6242.529411764706;3354.2500037041686
4;42;3591.093023255814;-2045.357142857143;4661.428571428572;3353.694447407872
5;38;3269.0;-1507.3947368421052;4331.315789473684;3353.344446111576
6;38;4367.2;-2564.0789473684213;5518.421052631579;3353.6944461115763
7;41;4421.642857142857;-2543.9024390243903;5275.048780487805;3353.072222593057
8;38;3867.6666666666665;-1957.2368421052631;4872.973684210527;3353.611112407871
9;43;4119.022727272727;-2355.3720930232557;5125.162790697675;3353.3722244449095
10;42;3947.3488372093025;-2468.4285714285716;5177.238095238095;3353.705556667131
Total Average;39.4;4166.033734918692;-2395.7287812798545;5230.8153890218355;3353.6066684449092

60.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;35;5088.1621621621625;-3199.3142857142857;6236.885714285714;3354.050000741205
2;35;4322.638888888889;-2367.6285714285714;5441.5142857142855;3354.327781481945
3;37;5103.923076923077;-3453.4054054054054;6210.108108108108;3353.9722229634294
4;36;4855.972222222223;-3174.3888888888887;6105.0;3354.5777787041698
5;40;4516.780487804878;-2657.625;5453.85;3353.3333342597234
6;39;4165.525;-2265.1794871794873;5082.307692307692;3353.7777785189833
7;40;4645.547619047619;-3153.35;5732.1;3353.6777796300944
8;44;3955.068181818182;-2124.931818181818;5047.454545454545;3353.566668889353
9;42;4214.930232558139;-2440.4761904761904;5300.285714285715;3353.516668148613
10;36;4772.1621621621625;-3209.6111111111113;5867.722222222223;3354.077779074539
Total Average;38.4;4564.071003358733;-2804.5910758385753;5647.722828237829;3353.887779241206

80.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;38;4787.8;-2927.5263157894738;5639.973684210527;3354.0444461115762
2;36;4422.810810810811;-2900.527777777778;5742.277777777777;3354.438889630095
3;36;4938.216216216216;-3358.6944444444443;6214.666666666667;3354.5611122226874
4;34;4808.235294117647;-2947.823529411765;5903.764705882353;3354.7166690745385
5;32;5922.090909090909;-4103.0;6938.40625;3354.361111852317
6;36;4828.513513513513;-3144.9444444444443;5901.75;3353.938892593058
7;34;5475.028571428571;-3550.794117647059;6549.470588235294;3354.9055575930583
8;34;5435.885714285714;-3658.029411764706;6368.029411764706;3354.644445926391
9;36;4944.078947368421;-3269.8055555555557;6157.833333333333;3354.4555574078727
10;35;5203.944444444444;-3596.8571428571427;6446.2;3354.5666694449096
Total Average;35.1;5076.660442127625;-3345.800273969237;6186.237241787066;3354.46333518565

100.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;32;4787.545454545455;-3576.28125;6068.96875;3354.7611125930575
2;36;4879.289473684211;-2972.3611111111113;5836.472222222223;3355.016669630095
3;30;5451.84375;-3949.3333333333335;6844.933333333333;3354.788889630095
4;35;4980.194444444444;-3141.1714285714284;6010.028571428571;3354.655559074539
5;38;4731.225;-2644.3947368421054;5544.4473684210525;3354.4000033337993
6;31;5375.424242424242;-3584.1935483870966;6458.4838709677415;3354.616668889354
7;37;5251.236842105263;-3187.2972972972975;6251.378378378378;3354.350002593059
8;38;5235.589743589743;-3420.815789473684;6263.184210526316;3354.2166681486137
9;33;5317.441176470588;-3473.0;6612.181818181818;3355.03333481528
10;37;5039.105263157895;-3353.837837837838;6094.027027027027;3354.150000926391
Total Average;34.7;5104.889539042184;-3330.2686332853896;6198.410555048646;3354.598890963428

120.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;38;4671.275;-2604.157894736842;5639.763157894737;3354.238891852317
2;29;6295.6;-4508.551724137931;7311.9655172413795;3354.755556667132
3;33;5473.515151515152;-3612.030303030303;6674.969696969697;3355.0777809263914
4;31;5665.53125;-3897.8387096774195;6999.677419354839;3355.200002222688
5;30;6121.28125;-3630.3333333333335;6804.133333333333;3355.388890741206
6;36;5295.891891891892;-3667.8055555555557;6448.694444444444;3354.5611135189843
7;36;4914.8378378378375;-3074.6111111111113;6010.0;3354.5388911115756
8;31;5312.558823529412;-3465.548387096774;6313.8387096774195;3354.9666688893544
9;34;5651.583333333333;-3726.4411764705883;6705.764705882353;3354.8611127782438
10;33;5243.914285714286;-3568.7272727272725;6305.30303030303;3355.0666690745397
Total Average;33.1;5464.598882382192;-3575.604546787713;6521.411001510123;3354.8655577782433

140.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;34;5537.888888888889;-3698.823529411765;6408.676470588235;3354.711111852317
2;35;5120.210526315789;-3023.8571428571427;5877.971428571429;3354.3000018523167
3;36;5209.921052631579;-3353.027777777778;6171.722222222223;3354.7055572226873
4;32;5675.411764705882;-3850.1875;6871.84375;3355.511113333798
5;33;5597.5142857142855;-3242.969696969697;6186.757575757576;3354.7666698152802
6;33;5445.228571428572;-4003.7272727272725;6623.212121212121;3354.8777805560203
7;35;4984.675675675676;-3136.942857142857;6034.342857142857;3354.8111146300944
8;32;5579.78125;-3896.09375;6684.78125;3355.127779074539
9;30;6192.066666666667;-4487.033333333334;7313.566666666667;3355.255558889354
10;31;5963.588235294118;-3975.3225806451615;6729.0;3355.1388896300946
Total Average;33.1;5530.628691732146;-3666.7985440865004;6490.187434216111;3354.92055768565

160.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;31;5955.3125;-4125.1612903225805;7121.967741935484;3355.100002037502
2;31;5820.625;-4218.774193548387;6927.806451612903;3355.2444470375026
3;25;6502.88;-4847.6;7676.88;3355.5555568523164
4;35;4988.189189189189;-3428.6285714285714;6131.314285714286;3355.1166672226877
5;32;5937.060606060606;-3920.5;6857.65625;3354.577778704168
6;34;5484.742857142857;-3883.3529411764707;6549.794117647059;3354.755557963427
7;29;5860.133333333333;-4485.827586206897;7198.517241379311;3355.500002778244
8;30;6103.290322580645;-4221.366666666667;7210.933333333333;3355.022222963428
9;38;5146.923076923077;-3169.0263157894738;5960.210526315789;3354.650000556021
10;27;6623.931034482759;-4914.555555555556;7934.481481481482;3355.538890370836
Total Average;31.2;5842.308791971247;-4121.47931206946;6956.956142941965;3355.106112648614

180.0
