Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;45;3771.8297872340427;2861.088888888889;4858.688888888889;3353.6944461115763
2;46;4027.574468085106;2932.4565217391305;5148.804347826087;3353.4277785189843
3;44;3853.159090909091;3044.0;5116.931818181818;3353.9888907412055
4;41;4198.325581395349;2793.317073170732;5465.951219512195;3354.244446481947
5;50;3639.25;2883.86;4651.86;3349.594445000461
Total Average;45.2;3898.0277855247173;2902.9444967597506;5048.4472548817985;3352.9900013708348
---Max Hops Exploration Ants = 5---Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;6;1202.8333333333333;725.5;2290.1666666666665;3355.4222250004655
2;4;1288.75;173.5;2618.75;3355.3777788893544
3;13;1057.6153846153845;1497.6923076923076;2153.6923076923076;3354.4611146300945
4;9;860.5555555555555;986.8888888888889;1757.2222222222222;3354.322222963427
5;8;774.0;1916.5;1825.375;3354.9333359263906
6;11;922.0;1237.0;1998.7272727272727;3355.377780185651
7;6;1032.0;1220.8333333333333;2433.5;3354.8722246300945
8;10;807.8;1529.3;1837.7;3353.605557778242
9;11;1030.909090909091;860.0;2107.6363636363635;3355.4888896300945
10;14;1031.5;592.4285714285714;2269.5;3354.772223148613
Total Average;9.2;1000.7963364413365;1073.96431013431;2129.226983294483;3354.8633352782426
