
Max Hops Feasibility Ants = 1
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;28;3423.3571428571427;-1663.1785714285713;4502.392857142857;3353.816668704168
2;39;2855.95;-1216.871794871795;3845.025641025641;3353.4000014819453
3;33;3929.4848484848485;-2289.909090909091;4964.666666666667;3353.827780556019
4;31;3684.6060606060605;-1924.7096774193549;4935.096774193548;3354.572225370835
5;36;2526.7105263157896;-884.4444444444445;3730.3888888888887;3354.044447407871
6;34;4200.114285714286;-2774.9117647058824;5323.235294117647;3354.2944472226864
7;32;5339.545454545455;-3543.75;6423.71875;3354.2222227782418
8;32;3799.5454545454545;-1204.46875;4138.0;3353.861113518982
9;33;3072.1944444444443;-1241.909090909091;4355.242424242424;3354.4444455560206
10;34;3071.542857142857;-1017.9705882352941;4136.411764705882;3354.327778889354
Total Average;33.2;3590.3051074656337;-1776.2123772923526;4635.417906098356;3354.0811131486125

Max Hops Feasibility Ants = 2
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;32;2082.4545454545455;-410.5;3263.75;3353.688891481945
2;35;3750.675675675676;-2003.5142857142857;4882.342857142857;3353.8833346300944
3;32;2347.6363636363635;-954.40625;3552.6875;3353.872224074538
4;28;2285.2;-71.03571428571429;2859.1071428571427;3353.7944462967607
5;29;4768.766666666666;-2665.0344827586205;5495.206896551724;3354.2444464819455
6;29;4343.5161290322585;-2532.2413793103447;5524.724137931034;3353.9500018523163
7;28;4578.896551724138;-2608.5714285714284;5722.785714285715;3354.34444666713
8;39;3787.925;-1889.5897435897436;4980.717948717948;3353.838891111575
9;28;3853.266666666667;-1745.642857142857;4753.964285714285;3353.633334815279
10;29;2631.9032258064517;-1305.4137931034484;3884.4137931034484;3354.1166679634275
Total Average;30.9;3443.024082466277;-1618.5949934476444;4491.970027630416;3353.9366685375016

Max Hops Feasibility Ants = 3
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;31;4460.090909090909;-2184.3225806451615;5135.0;3354.105558704167
2;38;3303.4102564102564;-1395.342105263158;4374.710526315789;3353.6833342597224
3;30;4545.666666666667;-2730.9;5632.766666666666;3354.277779444908
4;39;2903.025641025641;-932.2564102564103;3805.5641025641025;3353.266668333797
5;27;2979.206896551724;-816.5925925925926;3867.4074074074074;3354.0333342597237
6;34;4264.771428571428;-2338.205882352941;5384.617647058823;3353.933336667131
7;34;3742.8571428571427;-1876.6764705882354;4963.558823529412;3351.644445556017
8;28;4911.433333333333;-2206.464285714286;5347.214285714285;3354.2444464819455
9;23;4078.875;-2637.5652173913045;5368.434782608696;3354.561113518983
10;31;3117.875;-1533.6129032258063;4347.870967741936;3354.5166687041688
Total Average;31.5;3830.72122745071;-1865.1938448029898;4822.7145209607115;3353.826668593056

Max Hops Feasibility Ants = 4
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;27;4624.785714285715;-2775.6296296296296;5794.185185185185;3353.850001667131
2;33;3136.0857142857144;-706.060606060606;3638.0;3353.5333359263896
3;35;2160.7297297297296;-27.114285714285714;3116.114285714286;3351.4055575930556
4;31;3150.0;-1383.3548387096773;4441.8387096774195;3354.7444474078716
5;32;2373.1875;-615.71875;3360.28125;3353.4222238893526
6;29;4179.133333333333;-1721.4137931034484;4553.586206896552;3354.438889630094
7;30;3308.3225806451615;-1187.5333333333333;3830.4;3353.5111122226863
8;21;3435.6190476190477;-1955.142857142857;4726.9047619047615;3354.2444451856495
9;29;3828.6774193548385;-1785.0344827586207;4465.206896551724;3354.1777818523165
10;29;3507.032258064516;-1618.2758620689656;4672.137931034483;3353.883334630094
Total Average;29.6;3370.3573297318057;-1377.5278438521423;4259.865522696442;3353.721113000464

Max Hops Feasibility Ants = 5
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;36;3999.0833333333335;-2010.0833333333333;4933.861111111111;3353.2166675930566
2;35;3078.7714285714287;-1063.5428571428572;4162.685714285714;3351.500003148609
3;33;3067.1714285714284;-1301.2727272727273;4277.69696969697;3353.9388900004633
4;30;3515.9375;-1773.9333333333334;4711.3;3354.2222253708355
5;34;3426.3333333333335;-1643.8529411764705;4622.382352941177;3353.544446481945
6;33;2685.114285714286;-999.5757575757576;3862.151515151515;3353.250000556019
7;28;4821.0;-3158.8928571428573;5992.142857142857;3354.00000129676
8;31;4064.5151515151515;-477.8709677419355;3606.2903225806454;3354.1722246300938
9;32;2441.5151515151515;-1014.1875;3558.375;3353.661111852316
10;25;3184.6428571428573;-973.4;4033.6;3353.8055568523164
Total Average;31.7;3428.4084469696963;-1441.661227471927;4376.048584290999;3353.5311127782415
