Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
0;57;4233.724137931034;-2366.0701754385964;5294.929824561404;3355.1166685189896
1;48;4161.568627450981;-2428.0625;5361.041666666667;3355.338891296769
2;52;4090.754716981132;-2314.9615384615386;5376.5;3355.9222233338046
3;54;4204.754385964912;-2342.0925925925926;5193.888888888889;3355.5833351856545
4;51;4321.074074074074;-2506.8039215686276;5385.35294117647;3355.372224259731
5;51;4305.4807692307695;-2410.4901960784314;5159.509803921569;3355.7111111115833
6;49;4628.903846153846;-2944.469387755102;5899.34693877551;3355.7000018523227
7;55;4285.689655172414;-2042.4363636363637;4949.290909090909;3355.9500003708417
8;59;3734.72131147541;-2023.9830508474577;4756.796610169492;3355.794446111582
9;48;4834.92;-3063.4583333333335;5983.0625;3355.505556111583
Total Average;52.4;4280.159152443457;-2444.282805971204;5335.972008325091;3355.5994458152863
