
Delegate MAS
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Distance For Delivery
1;19;6332.315789473684;-5946.368421052632;8798.736842105263;529.8754385965674
2;18;7101.9;-5946.444444444444;8511.333333333334;559.3000000000804
3;22;6327.260869565217;-4423.818181818182;7486.818181818182;457.4924242424899
4;20;6088.15;-5013.55;8060.6;503.3233333334057
5;20;7464.523809523809;-6521.05;9183.2;503.3175000000723
6;21;6224.695652173913;-5090.761904761905;8081.523809523809;479.2777777778466
7;22;6124.833333333333;-4244.363636363636;7172.636363636364;457.4765151515808
8;16;8583.176470588236;-6630.125;9825.0625;629.3072916667572
9;21;7692.909090909091;-6795.809523809524;9909.714285714286;479.34444444451333
10;20;5934.809523809524;-4524.7;7486.2;503.294166666739
Total Average;19.9;6787.45745393768;-5513.6991112250325;8451.582531613123;510.2008891880053

Gradient Field
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Distance For Delivery
1;11;4273.090909090909;-3452.5454545454545;6353.272727272727;906.4151515152739
2;16;3311.125;-2078.375;4984.875;624.946875000086
3;13;5580.923076923077;-4623.461538461538;7411.846153846154;767.2628205129245
4;20;5492.619047619048;-4237.55;7343.65;500.66916666673626
5;2;521.0;1541.5;2085.5;4989.658333334011
6;12;7391.666666666667;-6553.75;9711.083333333334;828.5569444445542
7;8;4562.125;-3903.625;6577.625;1245.0083333335003
8;6;2195.1666666666665;-1718.8333333333333;4188.166666666667;1658.5333333335545
9;4;2504.5;-816.75;3890.25;2471.991666666982
10;1;613.0;551.0;3230.0;9867.316666667906
Total Average;9.3;3644.521636696637;-2529.2390326340324;5577.626888111889;2386.035929147553

Contract Net
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Distance For Delivery
1;27;5888.379310344828;-4667.518518518518;7497.666666666667;358.4216049383102
2;28;5612.0;-4877.428571428572;7665.357142857143;355.4458333333808
3;27;5180.566666666667;-4229.888888888889;6795.37037037037;352.22530864200746
4;27;5565.035714285715;-4843.074074074074;7640.740740740741;355.2629629629983
5;25;5630.111111111111;-4884.24;7628.28;386.8900000000415
6;24;5575.666666666667;-4932.625;7553.541666666667;379.3805555555742
7;21;6550.869565217391;-5076.857142857143;7683.523809523809;400.9611111110985
8;18;5499.578947368421;-4466.277777777777;7167.055555555556;391.53333333327396
9;19;8106.0;-8087.263157894737;10824.736842105263;432.36666666665434
10;21;5881.478260869565;-5227.809523809524;8419.047619047618;439.2944444444717
Total Average;23.7;5948.968624253036;-5129.298265524923;7887.532041353383;385.1781820987811
