
2000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;16;5716.444444444444;-5458.75;8206.875;3355.2555555560375
2;14;8491.6;-8293.0;11232.07142857143;3356.0333333338162
3;15;8336.888888888889;-7639.4;10601.8;3355.1777777782595
4;14;9270.875;-8518.42857142857;11355.42857142857;3355.566666667149
5;20;5095.2;-3815.65;6727.55;3354.827777778259
6;14;9777.35294117647;-7956.357142857143;10625.57142857143;3355.4500000004823
7;14;7897.5;-7025.285714285715;10106.0;3355.566666667149
8;13;8660.642857142857;-6717.7692307692305;9300.923076923076;3355.683333333816
9;16;6149.777777777777;-4885.6875;8129.875;3354.7111111115923
10;12;7550.384615384615;-5454.5;8672.75;3355.6444444449266
Total Average;14.8;7694.666652481504;-6576.482815934067;9495.88445054945;3355.391666667149

3000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;18;7557.75;-6153.666666666667;9016.166666666666;3354.4777777782588
2;18;5824.894736842105;-4808.222222222223;7746.444444444444;3354.7111111115923
3;21;7180.142857142857;-6103.571428571428;8713.857142857143;3354.7500000004816
4;18;7603.105263157895;-6581.166666666667;9691.111111111111;3354.983333333815
5;17;5861.294117647059;-4881.705882352941;7717.35294117647;3355.0611111115927
6;18;6094.9473684210525;-4583.833333333333;7592.777777777777;3355.0611111115927
7;17;6251.888888888889;-4196.0;7177.117647058823;3355.2166666671487
8;16;6485.5;-5526.0;8233.4375;3355.1388888893707
9;17;6300.944444444444;-5099.294117647059;8225.70588235294;3355.2166666671487
10;14;8355.875;-5843.285714285715;8601.42857142857;3355.488888889371
Total Average;17.4;6751.63426765443;-5377.674603174603;8271.539968487394;3355.0105555560376

4000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;22;6712.521739130435;-5443.045454545455;8417.0;3354.8666666671484
2;18;5861.85;-5184.944444444444;7784.611111111111;3354.7888888893704
3;17;7952.263157894737;-6720.529411764706;9375.411764705883;3355.8000000004827
4;15;7829.388888888889;-6477.266666666666;9521.733333333334;3355.7222222227047
5;17;7742.526315789473;-6589.823529411765;9479.882352941177;3355.411111111593
6;16;6488.470588235294;-5403.0625;8630.125;3354.8666666671484
7;21;7157.181818181818;-6637.952380952381;9229.714285714286;3354.983333333815
8;20;6377.380952380952;-5700.15;8489.7;3355.022222222704
9;19;6836.0952380952385;-5592.0;8388.421052631578;3354.8666666671484
10;16;6580.1578947368425;-5370.8125;8412.6875;3355.411111111593
Total Average;18.1;6953.783659333368;-5911.958688778543;8772.928640043736;3355.1738888893706

5000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
1;18;5856.45;-4926.777777777777;7663.333333333333;3355.566666667149
2;20;8449.57142857143;-7148.7;10013.7;3354.8666666671484
3;17;6452.333333333333;-6016.705882352941;8832.176470588236;3355.9166666671495
4;16;8594.055555555555;-7489.5;10192.0;3355.566666667149
5;23;7213.125;-5721.04347826087;8696.260869565218;3354.5944444449256
6;17;5239.888888888889;-3628.0;6708.470588235294;3355.6444444449266
7;22;6887.916666666667;-5276.545454545455;8208.954545454546;3355.2555555560375
8;21;6006.826086956522;-4052.4285714285716;7203.238095238095;3355.1388888893707
9;18;6247.55;-5215.722222222223;8486.833333333334;3355.022222222704
10;16;5576.5;-4121.5;6870.4375;3355.3333333338155
Total Average;18.8;6652.42169599724;-5359.692338658783;8287.540473574805;3355.290555556038

6000.0
Run;Delivered Packages;AVG Pickup Lateness;AVG Delivery Lateness;AVG Completion Time;AVG Total Distance Travelled
